"","date","type","market","country","forecast"
"1",2013-01-01,"ar","spot","fr",24.8953083725927
"2",2013-01-02,"ar","spot","fr",24.7583012153782
"3",2013-01-03,"ar","spot","fr",35.4464079695821
"4",2013-01-04,"ar","spot","fr",42.1493088259081
"5",2013-01-05,"ar","spot","fr",30.790626407698
"6",2013-01-06,"ar","spot","fr",33.1964557137254
"7",2013-01-07,"ar","spot","fr",41.4601774867631
"8",2013-01-08,"ar","spot","fr",47.8979604942622
"9",2013-01-09,"ar","spot","fr",52.4024312349824
"10",2013-01-10,"ar","spot","fr",55.3249267620172
"11",2013-01-11,"ar","spot","fr",55.7799010975953
"12",2013-01-12,"ar","spot","fr",42.9656113767459
"13",2013-01-13,"ar","spot","fr",45.2782334357754
"14",2013-01-14,"ar","spot","fr",56.2789380472778
"15",2013-01-15,"ar","spot","fr",54.559474264507
"16",2013-01-16,"ar","spot","fr",57.485927885373
"17",2013-01-17,"ar","spot","fr",58.9523547762636
"18",2013-01-18,"ar","spot","fr",66.8550969668972
"19",2013-01-19,"ar","spot","fr",50.9267014199395
"20",2013-01-20,"ar","spot","fr",53.5818062616158
"21",2013-01-21,"ar","spot","fr",59.8864027537902
"22",2013-01-22,"ar","spot","fr",62.1507975613403
"23",2013-01-23,"ar","spot","fr",57.9659045049582
"24",2013-01-24,"ar","spot","fr",62.0434091022149
"25",2013-01-25,"ar","spot","fr",59.9596181105317
"26",2013-01-26,"ar","spot","fr",46.9561224147278
"27",2013-01-27,"ar","spot","fr",47.7754464341719
"28",2013-01-28,"ar","spot","fr",54.8496459509168
"29",2013-01-29,"ar","spot","fr",52.7122390058171
"30",2013-01-30,"ar","spot","fr",49.8114492049334
"31",2013-01-31,"ar","spot","fr",45.2632157244831
"32",2013-02-01,"ar","spot","fr",45.3567391681723
"33",2013-02-02,"ar","spot","fr",34.9994230079081
"34",2013-02-03,"ar","spot","fr",35.7722373375576
"35",2013-02-04,"ar","spot","fr",48.9688695482485
"36",2013-02-05,"ar","spot","fr",51.7840955491414
"37",2013-02-06,"ar","spot","fr",49.0902908800321
"38",2013-02-07,"ar","spot","fr",49.1729635047822
"39",2013-02-08,"ar","spot","fr",53.1259646506352
"40",2013-02-09,"ar","spot","fr",41.9165057168904
"41",2013-02-10,"ar","spot","fr",48.2309652549794
"42",2013-02-11,"ar","spot","fr",58.0142547006915
"43",2013-02-12,"ar","spot","fr",54.0861459078196
"44",2013-02-13,"ar","spot","fr",56.4920927544532
"45",2013-02-14,"ar","spot","fr",56.9907345352247
"46",2013-02-15,"ar","spot","fr",54.4180005144907
"47",2013-02-16,"ar","spot","fr",44.3046344193327
"48",2013-02-17,"ar","spot","fr",49.4548783739435
"49",2013-02-18,"ar","spot","fr",58.3482675724803
"50",2013-02-19,"ar","spot","fr",57.1426780415376
"51",2013-02-20,"ar","spot","fr",58.6880479624714
"52",2013-02-21,"ar","spot","fr",54.5926463491454
"53",2013-02-22,"ar","spot","fr",55.2519867666872
"54",2013-02-23,"ar","spot","fr",43.3506289016394
"55",2013-02-24,"ar","spot","fr",54.1233749900631
"56",2013-02-25,"ar","spot","fr",64.116353926904
"57",2013-02-26,"ar","spot","fr",76.369606040631
"58",2013-02-27,"ar","spot","fr",63.7202008915697
"59",2013-02-28,"ar","spot","fr",62.6623390020498
"60",2013-03-01,"ar","spot","fr",58.8194398505999
"61",2013-03-02,"ar","spot","fr",48.3546722613187
"62",2013-03-03,"ar","spot","fr",52.8060572444698
"63",2013-03-04,"ar","spot","fr",66.2777360370288
"64",2013-03-05,"ar","spot","fr",58.2137104544066
"65",2013-03-06,"ar","spot","fr",59.5909886125628
"66",2013-03-07,"ar","spot","fr",56.1415333155224
"67",2013-03-08,"ar","spot","fr",51.0753584923448
"68",2013-03-09,"ar","spot","fr",37.3010559919276
"69",2013-03-10,"ar","spot","fr",38.2046927509013
"70",2013-03-11,"ar","spot","fr",45.4437759789899
"71",2013-03-12,"ar","spot","fr",49.8245770960033
"72",2013-03-13,"ar","spot","fr",56.3543328021927
"73",2013-03-14,"ar","spot","fr",65.8710661525712
"74",2013-03-15,"ar","spot","fr",69.243285954017
"75",2013-03-16,"ar","spot","fr",50.1706400431635
"76",2013-03-17,"ar","spot","fr",50.9698814598779
"77",2013-03-18,"ar","spot","fr",58.6792303851373
"78",2013-03-19,"ar","spot","fr",58.6092164350879
"79",2013-03-20,"ar","spot","fr",61.2762058757708
"80",2013-03-21,"ar","spot","fr",64.4539768930317
"81",2013-03-22,"ar","spot","fr",64.322391295575
"82",2013-03-23,"ar","spot","fr",51.4439433046603
"83",2013-03-24,"ar","spot","fr",46.363717302537
"84",2013-03-25,"ar","spot","fr",57.6893260637307
"85",2013-03-26,"ar","spot","fr",64.7034623379851
"86",2013-03-27,"ar","spot","fr",67.7977265236718
"87",2013-03-28,"ar","spot","fr",73.0061273296511
"88",2013-03-29,"ar","spot","fr",70.6805778187617
"89",2013-03-30,"ar","spot","fr",53.0657290283967
"90",2013-03-31,"ar","spot","fr",52.5348725578886
"91",2013-04-01,"ar","spot","fr",52.4919781099
"92",2013-04-02,"ar","spot","fr",49.6634448162068
"93",2013-04-03,"ar","spot","fr",60.5281100055631
"94",2013-04-04,"ar","spot","fr",64.8243174673266
"95",2013-04-05,"ar","spot","fr",62.3639507367493
"96",2013-04-06,"ar","spot","fr",53.1456593450269
"97",2013-04-07,"ar","spot","fr",57.8013318534599
"98",2013-04-08,"ar","spot","fr",67.234261256212
"99",2013-04-09,"ar","spot","fr",75.8513661773582
"100",2013-04-10,"ar","spot","fr",67.888490803745
"101",2013-04-11,"ar","spot","fr",63.19653372315
"102",2013-04-12,"ar","spot","fr",61.2366754563336
"103",2013-04-13,"ar","spot","fr",42.647008783582
"104",2013-04-14,"ar","spot","fr",36.5273271232507
"105",2013-04-15,"ar","spot","fr",39.0917666269231
"106",2013-04-16,"ar","spot","fr",45.9908628903739
"107",2013-04-17,"ar","spot","fr",49.7133860243335
"108",2013-04-18,"ar","spot","fr",45.9996134492171
"109",2013-04-19,"ar","spot","fr",39.4465862401248
"110",2013-04-20,"ar","spot","fr",25.7795225044524
"111",2013-04-21,"ar","spot","fr",26.1036185958131
"112",2013-04-22,"ar","spot","fr",33.8593817943032
"113",2013-04-23,"ar","spot","fr",45.3529762403351
"114",2013-04-24,"ar","spot","fr",41.4082049817591
"115",2013-04-25,"ar","spot","fr",40.0628730047051
"116",2013-04-26,"ar","spot","fr",35.9581875435465
"117",2013-04-27,"ar","spot","fr",24.9771987760871
"118",2013-04-28,"ar","spot","fr",24.742056555399
"119",2013-04-29,"ar","spot","fr",38.142268008593
"120",2013-04-30,"ar","spot","fr",39.9067045434627
"121",2013-05-01,"ar","spot","fr",40.8331569316381
"122",2013-05-02,"ar","spot","fr",25.381592451114
"123",2013-05-03,"ar","spot","fr",33.252618257004
"124",2013-05-04,"ar","spot","fr",24.25170906228
"125",2013-05-05,"ar","spot","fr",28.7410897904777
"126",2013-05-06,"ar","spot","fr",33.680460818943
"127",2013-05-07,"ar","spot","fr",38.5915513651874
"128",2013-05-08,"ar","spot","fr",33.9581785151519
"129",2013-05-09,"ar","spot","fr",26.3943904727578
"130",2013-05-10,"ar","spot","fr",24.9096857871415
"131",2013-05-11,"ar","spot","fr",15.5325618104155
"132",2013-05-12,"ar","spot","fr",14.9752732791782
"133",2013-05-13,"ar","spot","fr",27.3542358307795
"134",2013-05-14,"ar","spot","fr",33.1638828990293
"135",2013-05-15,"ar","spot","fr",33.1557982682143
"136",2013-05-16,"ar","spot","fr",33.1179292965858
"137",2013-05-17,"ar","spot","fr",35.8523543308058
"138",2013-05-18,"ar","spot","fr",24.636158942236
"139",2013-05-19,"ar","spot","fr",19.4533623937906
"140",2013-05-20,"ar","spot","fr",29.3782565013743
"141",2013-05-21,"ar","spot","fr",29.7922355329875
"142",2013-05-22,"ar","spot","fr",38.7324313421766
"143",2013-05-23,"ar","spot","fr",38.9272266330207
"144",2013-05-24,"ar","spot","fr",43.8509516818047
"145",2013-05-25,"ar","spot","fr",32.4604366102545
"146",2013-05-26,"ar","spot","fr",33.0397434875859
"147",2013-05-27,"ar","spot","fr",34.0477705254024
"148",2013-05-28,"ar","spot","fr",42.0782834491205
"149",2013-05-29,"ar","spot","fr",43.9897360408542
"150",2013-05-30,"ar","spot","fr",47.1148474932136
"151",2013-05-31,"ar","spot","fr",44.860544974561
"152",2013-06-01,"ar","spot","fr",27.3101730897374
"153",2013-06-02,"ar","spot","fr",18.6316365115173
"154",2013-06-03,"ar","spot","fr",27.0380611785998
"155",2013-06-04,"ar","spot","fr",31.4000051338847
"156",2013-06-05,"ar","spot","fr",36.8137671179422
"157",2013-06-06,"ar","spot","fr",36.5448197391573
"158",2013-06-07,"ar","spot","fr",30.9766965337184
"159",2013-06-08,"ar","spot","fr",16.5936917673273
"160",2013-06-09,"ar","spot","fr",13.6544017679534
"161",2013-06-10,"ar","spot","fr",25.6127297765544
"162",2013-06-11,"ar","spot","fr",30.2219869343825
"163",2013-06-12,"ar","spot","fr",31.5922286514959
"164",2013-06-13,"ar","spot","fr",30.857195373513
"165",2013-06-14,"ar","spot","fr",30.3524369912063
"166",2013-06-15,"ar","spot","fr",17.7141841268611
"167",2013-06-16,"ar","spot","fr",12.4866738582599
"168",2013-06-17,"ar","spot","fr",26.9694514964479
"169",2013-06-18,"ar","spot","fr",30.669407397517
"170",2013-06-19,"ar","spot","fr",33.0962534824614
"171",2013-06-20,"ar","spot","fr",34.4851176323312
"172",2013-06-21,"ar","spot","fr",37.2102908084818
"173",2013-06-22,"ar","spot","fr",19.5559085139648
"174",2013-06-23,"ar","spot","fr",15.5378327856096
"175",2013-06-24,"ar","spot","fr",25.0494896891263
"176",2013-06-25,"ar","spot","fr",30.382593817481
"177",2013-06-26,"ar","spot","fr",32.6352367262529
"178",2013-06-27,"ar","spot","fr",34.6824203522231
"179",2013-06-28,"ar","spot","fr",37.198607700089
"180",2013-06-29,"ar","spot","fr",21.4900751052742
"181",2013-06-30,"ar","spot","fr",18.3852060396428
"182",2013-07-01,"ar","spot","fr",30.1318639664979
"183",2013-07-02,"ar","spot","fr",34.0679512939809
"184",2013-07-03,"ar","spot","fr",35.8743315667237
"185",2013-07-04,"ar","spot","fr",39.25197876268
"186",2013-07-05,"ar","spot","fr",39.3903849867142
"187",2013-07-06,"ar","spot","fr",22.9921282522601
"188",2013-07-07,"ar","spot","fr",18.5318833858112
"189",2013-07-08,"ar","spot","fr",28.0992900135901
"190",2013-07-09,"ar","spot","fr",30.3901272710761
"191",2013-07-10,"ar","spot","fr",33.9481973074747
"192",2013-07-11,"ar","spot","fr",33.0481759399386
"193",2013-07-12,"ar","spot","fr",35.6795917270068
"194",2013-07-13,"ar","spot","fr",22.4330797564709
"195",2013-07-14,"ar","spot","fr",26.8827629354911
"196",2013-07-15,"ar","spot","fr",31.618045345203
"197",2013-07-16,"ar","spot","fr",35.3643088628176
"198",2013-07-17,"ar","spot","fr",38.0543877416793
"199",2013-07-18,"ar","spot","fr",42.6761295675018
"200",2013-07-19,"ar","spot","fr",39.520772830568
"201",2013-07-20,"ar","spot","fr",25.7388750078024
"202",2013-07-21,"ar","spot","fr",25.2641318306742
"203",2013-07-22,"ar","spot","fr",33.1312452875042
"204",2013-07-23,"ar","spot","fr",39.8719538832214
"205",2013-07-24,"ar","spot","fr",44.7618103126609
"206",2013-07-25,"ar","spot","fr",47.5592962517455
"207",2013-07-26,"ar","spot","fr",47.5695393262735
"208",2013-07-27,"ar","spot","fr",31.251755399514
"209",2013-07-28,"ar","spot","fr",32.6176433876731
"210",2013-07-29,"ar","spot","fr",38.1715239515618
"211",2013-07-30,"ar","spot","fr",43.4364801638675
"212",2013-07-31,"ar","spot","fr",40.4156987168881
"213",2013-08-01,"ar","spot","fr",37.5001510300046
"214",2013-08-02,"ar","spot","fr",39.4722731252413
"215",2013-08-03,"ar","spot","fr",25.5377992709461
"216",2013-08-04,"ar","spot","fr",28.5760371415227
"217",2013-08-05,"ar","spot","fr",42.8082879817607
"218",2013-08-06,"ar","spot","fr",42.1468495137124
"219",2013-08-07,"ar","spot","fr",36.7779606288155
"220",2013-08-08,"ar","spot","fr",37.4990315399641
"221",2013-08-09,"ar","spot","fr",35.5841505772013
"222",2013-08-10,"ar","spot","fr",22.5638810307398
"223",2013-08-11,"ar","spot","fr",22.0460358747999
"224",2013-08-12,"ar","spot","fr",30.3412603377235
"225",2013-08-13,"ar","spot","fr",30.9173105671412
"226",2013-08-14,"ar","spot","fr",29.7958889305397
"227",2013-08-15,"ar","spot","fr",30.0341328294961
"228",2013-08-16,"ar","spot","fr",26.4617516727599
"229",2013-08-17,"ar","spot","fr",22.1187067709744
"230",2013-08-18,"ar","spot","fr",27.4307995776667
"231",2013-08-19,"ar","spot","fr",36.0075781652521
"232",2013-08-20,"ar","spot","fr",43.4120981382307
"233",2013-08-21,"ar","spot","fr",40.6585756748461
"234",2013-08-22,"ar","spot","fr",39.7226816201759
"235",2013-08-23,"ar","spot","fr",43.7178714655994
"236",2013-08-24,"ar","spot","fr",33.0195390891247
"237",2013-08-25,"ar","spot","fr",29.7484079485836
"238",2013-08-26,"ar","spot","fr",41.8393443949214
"239",2013-08-27,"ar","spot","fr",43.9316816060949
"240",2013-08-28,"ar","spot","fr",47.0735793573829
"241",2013-08-29,"ar","spot","fr",50.8852777181326
"242",2013-08-30,"ar","spot","fr",50.7989198170752
"243",2013-08-31,"ar","spot","fr",36.6578891589902
"244",2013-09-01,"ar","spot","fr",33.1755642122562
"245",2013-09-02,"ar","spot","fr",41.7865375008863
"246",2013-09-03,"ar","spot","fr",44.4342677212491
"247",2013-09-04,"ar","spot","fr",48.2058676417822
"248",2013-09-05,"ar","spot","fr",49.8482182561664
"249",2013-09-06,"ar","spot","fr",50.6618528157143
"250",2013-09-07,"ar","spot","fr",37.2594104497888
"251",2013-09-08,"ar","spot","fr",36.3575375349113
"252",2013-09-09,"ar","spot","fr",44.2719894839645
"253",2013-09-10,"ar","spot","fr",46.4414345624579
"254",2013-09-11,"ar","spot","fr",47.4716417804784
"255",2013-09-12,"ar","spot","fr",47.3288656309849
"256",2013-09-13,"ar","spot","fr",48.6231727295
"257",2013-09-14,"ar","spot","fr",36.5783753208201
"258",2013-09-15,"ar","spot","fr",35.3372701149458
"259",2013-09-16,"ar","spot","fr",41.5923238225459
"260",2013-09-17,"ar","spot","fr",44.2496469519961
"261",2013-09-18,"ar","spot","fr",44.1037886579476
"262",2013-09-19,"ar","spot","fr",46.7675752338418
"263",2013-09-20,"ar","spot","fr",48.3555545625321
"264",2013-09-21,"ar","spot","fr",37.793356708525
"265",2013-09-22,"ar","spot","fr",36.1051999051791
"266",2013-09-23,"ar","spot","fr",43.0897958701658
"267",2013-09-24,"ar","spot","fr",44.9142787113068
"268",2013-09-25,"ar","spot","fr",49.6130666216839
"269",2013-09-26,"ar","spot","fr",52.9175512863559
"270",2013-09-27,"ar","spot","fr",54.6921543721432
"271",2013-09-28,"ar","spot","fr",41.2338874098932
"272",2013-09-29,"ar","spot","fr",38.2926604001313
"273",2013-09-30,"ar","spot","fr",41.0914281395739
"274",2013-10-01,"ar","spot","fr",45.023734454521
"275",2013-10-02,"ar","spot","fr",50.3347492792408
"276",2013-10-03,"ar","spot","fr",49.1594082121442
"277",2013-10-04,"ar","spot","fr",50.3611761437845
"278",2013-10-05,"ar","spot","fr",38.6838325970818
"279",2013-10-06,"ar","spot","fr",35.6933851499829
"280",2013-10-07,"ar","spot","fr",47.2942570513471
"281",2013-10-08,"ar","spot","fr",53.296796925917
"282",2013-10-09,"ar","spot","fr",52.0268414256642
"283",2013-10-10,"ar","spot","fr",53.5033032628706
"284",2013-10-11,"ar","spot","fr",53.9901859520754
"285",2013-10-12,"ar","spot","fr",40.7879729905308
"286",2013-10-13,"ar","spot","fr",45.3398187260768
"287",2013-10-14,"ar","spot","fr",50.8803369178761
"288",2013-10-15,"ar","spot","fr",51.065388714821
"289",2013-10-16,"ar","spot","fr",53.4641732882272
"290",2013-10-17,"ar","spot","fr",53.4911574253988
"291",2013-10-18,"ar","spot","fr",50.7700671067525
"292",2013-10-19,"ar","spot","fr",40.4587922184584
"293",2013-10-20,"ar","spot","fr",33.1347602400047
"294",2013-10-21,"ar","spot","fr",42.5903349861224
"295",2013-10-22,"ar","spot","fr",46.8033454542106
"296",2013-10-23,"ar","spot","fr",42.3669406990388
"297",2013-10-24,"ar","spot","fr",44.41315306643
"298",2013-10-25,"ar","spot","fr",45.900261452305
"299",2013-10-26,"ar","spot","fr",30.8142784653755
"300",2013-10-27,"ar","spot","fr",29.5120437950243
"301",2013-10-28,"ar","spot","fr",35.8059552350811
"302",2013-10-29,"ar","spot","fr",39.3564081606568
"303",2013-10-30,"ar","spot","fr",43.4659964368357
"304",2013-10-31,"ar","spot","fr",47.2273328360353
"305",2013-11-01,"ar","spot","fr",48.98671822263
"306",2013-11-02,"ar","spot","fr",27.0029322305791
"307",2013-11-03,"ar","spot","fr",27.8184694060246
"308",2013-11-04,"ar","spot","fr",31.3759342496718
"309",2013-11-05,"ar","spot","fr",41.2084835941347
"310",2013-11-06,"ar","spot","fr",44.4059594375771
"311",2013-11-07,"ar","spot","fr",42.6159677916256
"312",2013-11-08,"ar","spot","fr",41.7133060180962
"313",2013-11-09,"ar","spot","fr",33.3343699404723
"314",2013-11-10,"ar","spot","fr",29.8379456512111
"315",2013-11-11,"ar","spot","fr",41.3209281529713
"316",2013-11-12,"ar","spot","fr",44.0045196331907
"317",2013-11-13,"ar","spot","fr",49.6794086263962
"318",2013-11-14,"ar","spot","fr",50.3108391943828
"319",2013-11-15,"ar","spot","fr",52.0425585115214
"320",2013-11-16,"ar","spot","fr",40.3637652138403
"321",2013-11-17,"ar","spot","fr",45.5719763589332
"322",2013-11-18,"ar","spot","fr",55.9254982501565
"323",2013-11-19,"ar","spot","fr",56.5263558072971
"324",2013-11-20,"ar","spot","fr",56.9645054054301
"325",2013-11-21,"ar","spot","fr",55.5660586122415
"326",2013-11-22,"ar","spot","fr",57.7070847559983
"327",2013-11-23,"ar","spot","fr",47.1287943639662
"328",2013-11-24,"ar","spot","fr",50.3903523595676
"329",2013-11-25,"ar","spot","fr",60.5840908558726
"330",2013-11-26,"ar","spot","fr",58.9680248477414
"331",2013-11-27,"ar","spot","fr",61.272195203017
"332",2013-11-28,"ar","spot","fr",63.2406921389562
"333",2013-11-29,"ar","spot","fr",62.8999432744068
"334",2013-11-30,"ar","spot","fr",51.0703542407609
"335",2013-12-01,"ar","spot","fr",51.6938125173048
"336",2013-12-02,"ar","spot","fr",64.4995588908656
"337",2013-12-03,"ar","spot","fr",62.4822506477653
"338",2013-12-04,"ar","spot","fr",68.3574266521245
"339",2013-12-05,"ar","spot","fr",67.9920005531236
"340",2013-12-06,"ar","spot","fr",70.2921630067397
"341",2013-12-07,"ar","spot","fr",54.9494165570325
"342",2013-12-08,"ar","spot","fr",57.2665503507733
"343",2013-12-09,"ar","spot","fr",63.2484254782427
"344",2013-12-10,"ar","spot","fr",62.4677198434376
"345",2013-12-11,"ar","spot","fr",65.4516491916043
"346",2013-12-12,"ar","spot","fr",68.3746916184697
"347",2013-12-13,"ar","spot","fr",66.8720559004432
"348",2013-12-14,"ar","spot","fr",58.0711574209813
"349",2013-12-15,"ar","spot","fr",53.4421972766373
"350",2013-12-16,"ar","spot","fr",65.4452967952081
"351",2013-12-17,"ar","spot","fr",58.2780254772282
"352",2013-12-18,"ar","spot","fr",63.1548717432168
"353",2013-12-19,"ar","spot","fr",55.7494083024215
"354",2013-12-20,"ar","spot","fr",56.3994750089556
"355",2013-12-21,"ar","spot","fr",41.5155933533237
"356",2013-12-22,"ar","spot","fr",39.7185560100701
"357",2013-12-23,"ar","spot","fr",38.4750033842285
"358",2013-12-24,"ar","spot","fr",37.3846577039896
"359",2013-12-25,"ar","spot","fr",34.0721425115772
"360",2013-12-26,"ar","spot","fr",29.7075037995479
"361",2013-12-27,"ar","spot","fr",35.3483050031978
"362",2013-12-28,"ar","spot","fr",20.8190891849551
"363",2013-12-29,"ar","spot","fr",24.1670079981427
"364",2013-12-30,"ar","spot","fr",40.1413646928835
"365",2013-12-31,"ar","spot","fr",39.4801563400314
